Doc. No.,Title,Description,Registered by,Registered date,Status,subcategory
2022000361,Request participation of Prof. John Santos.,From International Visitor Leadership Program.,glainarose.arquillos,30/04/2022 1:51,Received by CASS-DEAN,Academics: Accreditation & Quality Assurance
2022001891,Certificate of Program Compliance.,MSU-IIT complies with CHED requirements for Bachelor of Science in Computer Science.,acmida.dagalangit,28/01/2022 10:42,Received by CSM-DEAN,Academics: Accreditation & Quality Assurance
2022003706,Endorsement letter from Dr. Maria Lopez.,CHED submission for Master of Arts in Education.,norol-huda.boransing,07/10/2022 10:46,Sent to OVCRE-DR from OC,Academics: Accreditation & Quality Assurance
2022004113,CHED FORMS,FR: Asst. Prof. Geraldine Majumot,janine.santos,12/01/2022 15:37,Sent to CASS-DEAN from OC,Academics: Accreditation & Quality Assurance
2022005588,Requirements from CHED (service record & faculty CV).,Requester: Asst. Prof. Alex Flores,marvin.lopez,16/08/2022 17:32,Received by CASS-DEAN,Academics: Accreditation & Quality Assurance
2022007514,AACCUP,Technical review and board action report,cheryl.mendoza,10/07/2022 7:41,Sent to OQUAMS from OC,Academics: Accreditation & Quality Assurance
2022008894,Certificate of Program Compliance (COPC),Bachelor of Science in Nursing,glainarose.arquillos,11/09/2022 4:12,Received by CON-DEAN,Academics: Accreditation & Quality Assurance
2022009003,Certificate of Program Compliance (COPC),Doctor of Philosophy in Sociology & Master of Arts in History,acmida.dagalangit,20/03/2022 2:55,Sent to CASS-DEAN from OC,Academics: Accreditation & Quality Assurance
2022011034,Endorsement for CHED Accreditation visit.,Requester: Prof. Cecilia Quijano,norol-huda.boransing,07/09/2022 12:03,Received by OVCRE-DR,Academics: Accreditation & Quality Assurance
2022011326,Accreditation document submission,For Bachelor of Science in Industrial Engineering,glainarose.arquillos,19/12/2022 10:20,Sent to CSM-DEAN from OC,Academics: Accreditation & Quality Assurance
2022013253,Request letter for program accreditation visit.,CHED Technical Panel visit schedule,janine.santos,06/07/2022 15:42,Received by OQUAMS,Academics: Accreditation & Quality Assurance
2022014302,Certificate of Program Compliance (COPC),Master of Science in Biology,marvin.lopez,29/01/2022 8:34,Sent to CSM-DEAN from OC,Academics: Accreditation & Quality Assurance
2022016421,Endorsement letter from Dr. Geraldine Majumot,CHED submission for Bachelor of Science in Tourism,cheryl.mendoza,26/08/2022 1:33,Received by OVCRE-DR,Academics: Accreditation & Quality Assurance
2022019099,Accreditation checklist submission,Requester: Asst. Prof. John Dela Cruz,glainarose.arquillos,06/01/2022 4:35,Sent to OQUAMS from OC,Academics: Accreditation & Quality Assurance
2022021919,Program Compliance Certificate,Bachelor of Science in Information Technology,acmida.dagalangit,15/03/2022 10:47,Received by CSM-DEAN,Academics: Accreditation & Quality Assurance
2022023359,CHED Forms submission,FR: Asst. Prof. Jane Santos,norol-huda.boransing,17/02/2022 5:53,Sent to CASS-DEAN from OC,Academics: Accreditation & Quality Assurance
2022024259,Endorsement letter,CHED submission for Doctor of Philosophy in Environmental Science,glainarose.arquillos,14/11/2022 15:21,Received by OVCRE-DR,Academics: Accreditation & Quality Assurance
2022026187,Certificate of Program Compliance (COPC),Bachelor of Science in Civil Engineering,janine.santos,18/10/2022 10:43,Sent to CON-DEAN from OC,Academics: Accreditation & Quality Assurance
2022026964,Request participation of Prof. Maria Lopez,From International Visitor Leadership Program,marvin.lopez,28/09/2022 3:30,Received by CASS-DEAN,Academics: Accreditation & Quality Assurance
2022028637,Accreditation Technical Review,AACCUP Phase II Visit,cheryl.mendoza,13/10/2022 6:31,Sent to OQUAMS from OC,Academics: Accreditation & Quality Assurance
2022029040,Certificate of Program Compliance (COPC),Master of Arts in Mathematics,glainarose.arquillos,15/07/2022 3:19,Received by CSM-DEAN,Academics: Accreditation & Quality Assurance
2022031571,Endorsement letter from Dr. Alex Flores,CHED submission for Bachelor of Science in Electrical Engineering,acmida.dagalangit,15/01/2022 21:43,Sent to OVCRE-DR from OC,Academics: Accreditation & Quality Assurance
2022032908,Request letter for accreditation panel visit,Requester: Prof. Geraldine Majumot,norol-huda.boransing,03/12/2022 23:40,Received by OQUAMS,Academics: Accreditation & Quality Assurance
2022036607,Program Compliance Certificate,Bachelor of Science in Mechanical Engineering,glainarose.arquillos,25/10/2022 7:59,Sent to CSM-DEAN from OC,Academics: Accreditation & Quality Assurance
